date,Distance,OT
1,9.258683542769527,176
2,9.24996308672956,176
3,9.230304926165807,176
4,9.223331337683142,176
5,9.133077140131048,178
6,9.101052755835251,178
7,9.090576281600846,178
8,9.080685606802554,178
9,9.060945913842307,177
10,9.063307390438414,176
11,9.054692522239433,175
12,9.045463658448874,177
13,9.047867721876944,177
14,9.620513315252714,177
15,9.66923098037085,177
16,9.680113251598119,177
17,9.70318184940203,177
18,9.72774377836833,178
19,9.721367121321261,178
20,9.743452338168153,178
21,9.758312595556504,178
22,9.76438245423625,178
23,9.781914309120316,178
24,9.796170999448439,178
25,9.823422339491573,178
26,9.852178134075055,178
27,9.86809639255503,178
28,9.897837066388922,178
29,9.92575415801707,179
30,9.954566114658052,171
31,9.977275026571256,169
32,10.014271432400884,169
33,10.030862571419076,168
34,10.051907125556822,171
35,10.108957192105175,182
36,10.128761801319625,183
37,10.162539481272068,184
38,9.641304475208726,176
39,9.619223257928983,176
40,9.607442744345756,176
41,9.600492491840296,176
42,9.595075607529447,176
43,9.578987850663232,176
44,9.575279710548756,176
45,9.570500722436638,176
46,9.544417998462064,176
47,9.521376984482322,176
48,9.514435432458502,176
49,9.500005580928665,176
50,9.47924598183409,176
51,9.471535162199192,177
52,9.468373851018281,177
53,9.473812057327587,177
54,9.469956681644327,177
55,9.462404917594196,177
56,9.458697904390814,177
57,9.427916636420573,177
58,9.302592012151868,177
59,8.914681086340087,178
60,9.424481266820633,172
61,9.916167180448921,178
62,10.48033860119249,174
63,10.547427063162557,175
64,10.751549655990317,178
65,10.915026929581625,178
66,11.212142314479165,174
67,11.263816654154859,170
68,11.286470862910225,167
69,11.310395566017894,162
70,11.174971891865487,165
71,11.147133156372874,166
72,11.138182080832376,165
73,11.173707410139814,166
74,11.19056065821759,166
75,11.12052845206874,171
76,11.127588353616334,172
77,11.219915490570163,172
78,11.205843203488413,174
79,11.175193886125152,174
80,11.251429323032303,175
81,11.24272411846381,174
82,11.181304157441584,171
83,11.132300164152783,172
84,11.137710678048984,174
85,11.126361893465699,174
86,10.989414372170348,176
87,10.908986186318613,180
88,10.951515028283259,180
89,11.106815363155528,179
90,11.243339299846285,176
91,11.249178052308748,175
92,11.24183670189948,171
93,11.266739296230696,171
94,11.246847197113523,171
95,11.206287158341972,171
96,11.134086649827166,171
97,11.042969486109556,176
98,11.024188466836343,176
99,11.065702848728078,177
100,11.099718783427523,177
101,11.117309751802777,176
102,11.11853472222077,175
103,11.142838685820468,173
104,11.110888790497398,173
105,10.737955178464565,176
106,10.543367996932188,178
107,10.312943784822568,177
108,10.088591646742076,177
109,9.807357334034391,177
110,9.624120268962065,176
111,9.51536419663127,180
112,9.524015546212684,180
113,9.485833967874125,180
114,9.477160384393446,180
115,9.455291853518432,181
116,9.418533996066314,181
117,9.406989290798581,181
118,9.349987049215445,180
119,9.315631927866836,179
120,9.290671244515375,179
121,9.257579076006804,179
122,9.229990594886779,170
123,9.198047368047845,178
124,9.166330637265533,178
125,9.139942269985326,178
126,9.109828769405649,178
127,9.24779884515963,180
128,9.279091032225734,180
129,9.29346723713495,180
130,9.322257904313558,180
131,9.358074529819442,180
132,9.382196642693142,180
133,9.403066754527966,180
134,9.421771725892844,180
135,9.45073431365158,180
136,9.455149088557846,180
137,9.478681623090027,180
138,9.505426943354369,180
139,9.546859265686914,180
140,9.574476160209443,180
141,9.50375494262032,181
142,9.629468099644544,179
143,10.246646487869931,177
144,10.552462168092514,177
145,10.609779983471771,177
146,10.624515845886977,178
147,10.618228295007782,178
148,10.555182209150903,178
149,10.522360010257911,179
150,10.4974088273321,178
151,10.588092175200611,178
152,10.96119845036918,176
153,11.161624731023654,174
154,11.366839130490437,177
155,11.85382119254879,181
156,11.84407484479121,180
157,11.814392832171828,180
158,11.805844369172252,180
159,11.754744407977947,182
160,11.659117905501708,181
161,11.592092330048006,181
162,11.455667680266885,181
163,11.31986026289531,181
164,11.334905190110732,180
165,11.373286677570771,177
166,11.602494391105965,173
167,11.874566658768963,169
168,12.23939090866804,167
169,12.611390879023189,167
170,12.763169754611397,165
171,12.668925355834704,170
172,12.605368295760128,170
173,12.643477449778336,171
174,12.730401604529701,173
175,12.544709287993989,175
176,12.217406592616177,177
177,11.937795322823838,180
178,11.749427878771698,180
179,11.681029125710461,180
180,11.634808418664264,180
181,11.732931130676443,179
182,12.036487036789124,174
183,12.496716107865936,168
184,12.859838233335944,164
185,12.961673176286407,164
186,12.950723618601952,164
187,12.926327690965985,163
188,12.807277246194419,167
189,12.675151394479029,163
190,12.628064648639,162
191,12.739041149841839,162
192,12.877315892592316,164
193,12.9007319453987,164
194,12.880076961838201,165
195,12.889078928636037,167
196,12.896280871697163,173
197,12.809563315819581,173
198,12.413700569714376,173
199,11.822914618953234,173
200,11.380916114021016,173
201,11.108292569059683,173
202,10.953326441484549,171
203,10.926036521733613,170
204,11.171446209510584,170
205,11.548539775889656,171
206,11.859362885853823,170
207,12.094804331284697,170
208,12.203630109833263,170
209,12.367338698281436,170
210,11.590541835873715,169
211,11.465394955513045,170
212,11.534551211616611,172
213,11.682327279853874,172
214,11.843752211475508,172
215,11.979758776375247,174
216,11.900981872214782,175
217,11.758278333258469,177
218,11.686347095592557,178
219,11.661398664429425,177
220,11.635314958161489,177
221,11.565615344830098,177
222,11.631146031116703,174
223,11.731459817061328,169
224,11.93579979775366,170
225,12.129442289782284,170
226,12.219550944692433,170
227,12.377449594129121,171
228,12.520975086896133,174
229,12.627491487431437,176
230,12.42986244034515,174
231,12.513861530380675,174
232,13.116077102142178,174
233,13.110346671821645,174
234,12.83836482508749,174
235,12.586346323441054,174
236,12.366718812727573,168
237,12.266942092598615,167
238,12.475521804189468,168
239,12.740383557190235,173
240,12.706315719591487,173
241,12.086901447048826,177
242,12.024344854170923,178
243,11.925020071859699,180
244,11.766892788998446,188
245,11.762684620762284,189
246,11.874921904625255,190
247,12.083817033151215,190
248,12.125946522711587,189
249,12.094016400924843,189
250,11.85327576316141,188
251,11.442370938489132,186
252,11.630001142746938,186
253,11.808977864735066,186
254,11.544395559271301,186
255,11.155851610020246,179
256,11.088991275538936,173
257,11.134236814294034,168
258,10.82252742090458,165
259,10.483151029153385,173
260,10.211098483540303,181
261,9.804776940092385,182
262,9.640972709729155,181
263,9.889509137521726,179
264,10.133301476316747,173
265,10.311699253665363,170
266,10.350080424823012,170
267,10.358024925017236,175
268,10.52219161840345,176
269,10.847551453434564,175
270,14.355949016950948,174
271,14.905696277377306,175
272,15.101288071018718,175
