date,Distance,Angle,Motion,Velocity,OT
1,9.258683542769527,5.329645548477143,0,-0.021315484424441422,176
2,9.24996308672956,5.521346663205349,0,-0.02028911518460852,176
3,9.230304926165807,5.720264678815842,0,-0.019658160563752247,176
4,9.223331337683142,5.97438684445824,0,-0.006973588482665605,176
5,9.133077140131048,6.475415787028794,0,-0.008887029657483225,178
6,9.101052755835251,6.498299224937155,0,-0.020398028407306867,178
7,9.090576281600846,6.505820551711457,0,-0.01047647423440523,178
8,9.080685606802554,6.576447545984087,0,-0.00989067479829231,178
9,9.060945913842307,6.718163467596961,0,-0.019739692960246913,177
10,9.063307390438414,6.8437300133365175,0,-0.008664408907199217,176
11,9.054692522239433,6.977754474654834,0,-0.00861486819898083,175
12,9.045463658448874,7.048729164545433,0,-0.009228863790559316,177
13,9.047867721876944,7.110658347399475,0,0.0024040634280702022,177
14,9.620513315252714,11.147584930659951,1,0.5824150253013869,177
15,9.66923098037085,11.271911629106317,0,0.02566110219792428,177
16,9.680113251598119,11.259074111669792,0,0.0217640020273695,177
17,9.70318184940203,11.231957817902181,0,0.01023056220466323,177
18,9.72774377836833,10.723274629949533,0,-0.013871613180823417,178
19,9.721367121321261,10.850389570376619,0,-0.00637665704706869,178
20,9.743452338168153,11.484806306920156,0,-0.006904820038755588,178
21,9.758312595556504,11.586926329448,0,0.003997411362552938,178
22,9.76438245423625,11.759374223275294,0,0.006069858679746076,178
23,9.781914309120316,11.977399522988263,0,0.005415524415360196,178
24,9.796170999448439,12.079308429104517,0,0.016327056369753734,178
25,9.823422339491573,12.224271896438044,0,0.027251340043134675,178
26,9.852178134075055,12.426137200997523,0,0.026633545604546782,178
27,9.86809639255503,12.584183688354138,0,0.015918258479974412,178
28,9.897837066388922,12.783076762533922,0,0.029740673833892117,178
29,9.92575415801707,12.983360081684282,0,0.02791709162814726,179
30,9.954566114658052,13.181473701794756,0,0.028811956640982572,171
31,9.977275026571256,13.209912975014708,0,0.022708911913204233,169
32,10.014271432400884,13.277775027847538,0,0.03868940748246885,169
33,10.030862571419076,13.431525604713915,0,0.016591139018192536,168
34,10.051907125556822,13.402880538399737,0,0.021044554137745308,171
35,10.108957192105175,13.442364095783242,0,0.015870503658678814,182
36,10.128761801319625,13.357441590956471,0,0.019804609214450153,183
37,10.162539481272068,13.60208237091014,0,0.03377767995244341,184
38,9.641304475208726,14.046290915847232,0,-0.013365643048784293,176
39,9.619223257928983,13.772360829852692,0,-0.02208121727974266,176
40,9.607442744345756,13.48274828454627,0,-0.011780513583227403,176
41,9.600492491840296,13.308642206657808,0,-0.004623649356638282,176
42,9.595075607529447,13.132272660119806,0,-0.005416884310848857,176
43,9.578987850663232,12.970514835931727,0,-0.01382070127850632,176
44,9.575279710548756,12.852845443320415,0,-0.002958059172957661,176
45,9.570500722436638,12.982217973832165,0,0.003796690892521326,176
46,9.544417998462064,12.895119895635224,0,-0.025300029856737183,176
47,9.521376984482322,12.865131858963439,0,-0.023041013979742786,176
48,9.514435432458502,12.936459638104417,0,-0.0069415520238198525,176
49,9.500005580928665,12.83270771756761,0,-0.014429851529836668,176
50,9.47924598183409,12.861292596436867,0,-0.02075959909457481,176
51,9.471535162199192,12.934002371078115,0,-0.0077108196348980584,177
52,9.468373851018281,13.124733119276549,0,-0.0031613111809107863,177
53,9.473812057327587,13.241292800169083,0,0.005438206309305471,177
54,9.469956681644327,13.433323104365293,0,-0.0038553756832602204,177
55,9.462404917594196,13.506510211019645,0,-0.008439547891281762,177
56,9.458697904390814,13.698874761402555,0,-0.003707013203381848,177
57,9.427916636420573,13.807049282604286,0,-0.02841806823784232,177
58,9.302592012151868,14.887244185202864,-1,-0.12532462426870516,177
59,8.914681086340087,17.15867468400926,-1,-0.3020820553372001,178
60,9.424481266820633,20.75644115618498,1,0.5098001804805463,172
61,9.916167180448921,24.042582296376448,1,0.6227782131932695,178
62,10.48033860119249,28.308662319537405,1,0.4677327829702449,174
63,10.547427063162557,28.544531707936883,1,0.11712330914497393,175
64,10.751549655990317,30.581526700102796,1,0.17940679524146752,178
65,10.915026929581625,32.22258990640282,1,0.18377257581544626,178
66,11.212142314479165,34.868970798903995,1,0.1059755406596139,174
67,11.263816654154859,35.05802057599014,1,0.05152995454560916,170
68,11.286470862910225,34.72991104592266,0,0.02598971455860699,167
69,11.310395566017894,34.39999821658215,0,0.023924703107669032,162
70,11.174971891865487,34.68950698096484,-1,-0.09108814583927405,165
71,11.147133156372874,34.78860772357234,-1,-0.05178709375599411,166
72,11.138182080832376,34.695376349587264,0,-0.00895107554049801,165
73,11.173707410139814,34.569357346359304,0,0.04069721414989935,166
74,11.19056065821759,34.509920012765065,0,0.024987569737717763,166
75,11.12052845206874,34.19586252977943,-1,-0.0700322061488503,171
76,11.127588353616334,33.92259628645625,0,0.007059901547593839,172
77,11.219915490570163,34.22143978411673,1,0.07146037074759093,172
78,11.205843203488413,34.51824550888975,0,-0.008451407209856043,174
79,11.175193886125152,34.439679226766266,0,-0.030649317363261375,174
80,11.251429323032303,34.60585407016002,1,0.07623543690715096,175
81,11.24272411846381,35.07119337822532,0,-0.008705204568492775,174
82,11.181304157441584,35.29245429754514,-1,-0.06141996102222613,171
83,11.132300164152783,34.716337464078734,0,-0.04900399328880134,172
84,11.137710678048984,34.509558544355286,0,-0.002599372722579929,174
85,11.126361893465699,34.1132325217546,0,-0.011348784583285365,174
86,10.989414372170348,33.403366455004615,-1,-0.13694752129535104,176
87,10.908986186318613,32.92826286365604,-1,-0.08042818585173528,180
